joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
7.724392414093017578e-01,1.401782780885696411e-02,1.342345356941223145e+00,1.204863667488098145e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732680320739746e+00
7.724393010139465332e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204863667488098145e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401800755411386490e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258219003677368164e-01,1.554732680320739746e+00
7.724391818046569824e-01,1.401794794946908951e-02,1.342345356941223145e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258220791816711426e-01,1.554732799530029297e+00
7.724391222000122070e-01,1.401782780885696411e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724391222000122070e-01,1.401782780885696411e-02,1.342345595359802246e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732680320739746e+00
7.724392414093017578e-01,1.401800755411386490e-02,1.342345595359802246e+00,1.204863667488098145e+00,1.619540691375732422e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732680320739746e+00
7.724393010139465332e-01,1.401782780885696411e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540691375732422e+00,-9.258217811584472656e-01,1.554732680320739746e+00
7.724392414093017578e-01,1.401788834482431412e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540691375732422e+00,-9.258216619491577148e-01,1.554732918739318848e+00
7.724391222000122070e-01,1.401788834482431412e-02,1.342345595359802246e+00,1.204864025115966797e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732680320739746e+00
7.724392414093017578e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732680320739746e+00
7.724391222000122070e-01,1.401776820421218872e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724391222000122070e-01,1.401788834482431412e-02,1.342345595359802246e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732680320739746e+00
7.724392414093017578e-01,1.401782780885696411e-02,1.342345595359802246e+00,1.204863667488098145e+00,1.619540691375732422e+00,-9.258216619491577148e-01,1.554732680320739746e+00
7.724392414093017578e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724391222000122070e-01,1.401782780885696411e-02,1.342345356941223145e+00,1.204863905906677246e+00,1.619540691375732422e+00,-9.258217811584472656e-01,1.554732680320739746e+00
7.724392414093017578e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204863667488098145e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732680320739746e+00
7.724392414093017578e-01,1.401776820421218872e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401788834482431412e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540691375732422e+00,-9.258217811584472656e-01,1.554732680320739746e+00
7.724391222000122070e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540691375732422e+00,-9.258219003677368164e-01,1.554732680320739746e+00
7.724392414093017578e-01,1.401776820421218872e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401776820421218872e-02,1.342345595359802246e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401800755411386490e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732680320739746e+00
7.724392414093017578e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204863667488098145e+00,1.619540691375732422e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258219003677368164e-01,1.554732680320739746e+00
7.724391222000122070e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401776820421218872e-02,1.342345356941223145e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732918739318848e+00
7.724392414093017578e-01,1.401788834482431412e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540691375732422e+00,-9.258219003677368164e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401782780885696411e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540691375732422e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724391222000122070e-01,1.401776820421218872e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258213639259338379e-01,1.554732680320739746e+00
7.724392414093017578e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732561111450195e+00
7.724392414093017578e-01,1.401788834482431412e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540691375732422e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401782780885696411e-02,1.342345714569091797e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724393606185913086e-01,1.401788834482431412e-02,1.342345595359802246e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540691375732422e+00,-9.258217811584472656e-01,1.554732680320739746e+00
7.724392414093017578e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863667488098145e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401788834482431412e-02,1.342345595359802246e+00,1.204863667488098145e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401800755411386490e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732680320739746e+00
7.724392414093017578e-01,1.401788834482431412e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732680320739746e+00
7.724393010139465332e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401800755411386490e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540691375732422e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401800755411386490e-02,1.342345595359802246e+00,1.204864025115966797e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401788834482431412e-02,1.342345595359802246e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401782780885696411e-02,1.342345595359802246e+00,1.204863667488098145e+00,1.619540691375732422e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401782780885696411e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540691375732422e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724393606185913086e-01,1.401776820421218872e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540333747863770e+00,-9.258219003677368164e-01,1.554732799530029297e+00
7.724393606185913086e-01,1.401788834482431412e-02,1.342345714569091797e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732680320739746e+00
7.724393606185913086e-01,1.401800755411386490e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732799530029297e+00
7.724393606185913086e-01,1.401794794946908951e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732918739318848e+00
7.724393010139465332e-01,1.401788834482431412e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401788834482431412e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732680320739746e+00
7.724393606185913086e-01,1.401800755411386490e-02,1.342345476150512695e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724393606185913086e-01,1.401794794946908951e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732918739318848e+00
7.724394202232360840e-01,1.401788834482431412e-02,1.342345476150512695e+00,1.204863786697387695e+00,1.619540691375732422e+00,-9.258215427398681641e-01,1.554732799530029297e+00
7.724393606185913086e-01,1.401776820421218872e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258220791816711426e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401788834482431412e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732918739318848e+00
7.724393606185913086e-01,1.401788834482431412e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540691375732422e+00,-9.258213639259338379e-01,1.554732680320739746e+00
7.724393010139465332e-01,1.401782780885696411e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732799530029297e+00
7.724393606185913086e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863786697387695e+00,1.619540691375732422e+00,-9.258217811584472656e-01,1.554732680320739746e+00
7.724393010139465332e-01,1.401782780885696411e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540691375732422e+00,-9.258217811584472656e-01,1.554732680320739746e+00
7.724393606185913086e-01,1.401782780885696411e-02,1.342345595359802246e+00,1.204863667488098145e+00,1.619540333747863770e+00,-9.258215427398681641e-01,1.554732918739318848e+00
7.724393010139465332e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258213639259338379e-01,1.554732680320739746e+00
7.724392414093017578e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863667488098145e+00,1.619540691375732422e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863667488098145e+00,1.619540572166442871e+00,-9.258219003677368164e-01,1.554732918739318848e+00
7.724393010139465332e-01,1.401776820421218872e-02,1.342345595359802246e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732680320739746e+00
7.724393010139465332e-01,1.401782780885696411e-02,1.342345595359802246e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401788834482431412e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401788834482431412e-02,1.342345595359802246e+00,1.204864025115966797e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732680320739746e+00
7.724393010139465332e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863667488098145e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732680320739746e+00
7.724393606185913086e-01,1.401776820421218872e-02,1.342345714569091797e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258213639259338379e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401770859956741333e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401776820421218872e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732680320739746e+00
7.724393010139465332e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401776820421218872e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401776820421218872e-02,1.342345595359802246e+00,1.204863667488098145e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724393606185913086e-01,1.401776820421218872e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258219003677368164e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401788834482431412e-02,1.342345356941223145e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204864025115966797e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732680320739746e+00
7.724393010139465332e-01,1.401776820421218872e-02,1.342345714569091797e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258219003677368164e-01,1.554732799530029297e+00
7.724393606185913086e-01,1.401782780885696411e-02,1.342345595359802246e+00,1.204863667488098145e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732680320739746e+00
7.724393606185913086e-01,1.401800755411386490e-02,1.342345356941223145e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401782780885696411e-02,1.342345356941223145e+00,1.204863667488098145e+00,1.619540691375732422e+00,-9.258217811584472656e-01,1.554732680320739746e+00
7.724393010139465332e-01,1.401776820421218872e-02,1.342345595359802246e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724393606185913086e-01,1.401776820421218872e-02,1.342345714569091797e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401800755411386490e-02,1.342345476150512695e+00,1.204863786697387695e+00,1.619540691375732422e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401788834482431412e-02,1.342345595359802246e+00,1.204863786697387695e+00,1.619540691375732422e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401782780885696411e-02,1.342345595359802246e+00,1.204863667488098145e+00,1.619540333747863770e+00,-9.258215427398681641e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401788834482431412e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401782780885696411e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258219003677368164e-01,1.554732918739318848e+00
7.724393010139465332e-01,1.401788834482431412e-02,1.342345595359802246e+00,1.204863786697387695e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732799530029297e+00
7.724393606185913086e-01,1.401788834482431412e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732918739318848e+00
7.724393606185913086e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204863667488098145e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724393606185913086e-01,1.401782780885696411e-02,1.342345714569091797e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258217811584472656e-01,1.554732799530029297e+00
7.724393606185913086e-01,1.401776820421218872e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258213639259338379e-01,1.554733037948608398e+00
7.724392414093017578e-01,1.401776820421218872e-02,1.342345356941223145e+00,1.204863667488098145e+00,1.619540691375732422e+00,-9.258213639259338379e-01,1.554732918739318848e+00
7.724393010139465332e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732799530029297e+00
7.724392414093017578e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258216619491577148e-01,1.554732918739318848e+00
7.724392414093017578e-01,1.401782780885696411e-02,1.342345476150512695e+00,1.204863667488098145e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732799530029297e+00
7.724393010139465332e-01,1.401776820421218872e-02,1.342345476150512695e+00,1.204863905906677246e+00,1.619540691375732422e+00,-9.258216619491577148e-01,1.554732680320739746e+00
7.724393606185913086e-01,1.401764806360006332e-02,1.342345595359802246e+00,1.204863905906677246e+00,1.619540572166442871e+00,-9.258215427398681641e-01,1.554732799530029297e+00
